,links
0,/critic/will-entwhistle/
1,/critic/gleana-albritton/
2,/critic/daniel-bettridge/
3,/critic/guillermo-courau/
4,/critic/erin-aubry/
5,/critic/solange-castro-belcher/
6,/critic/andrew-daley/
7,/critic/katherine-barner/
8,/critic/jill-bernstein/
9,/critic/james-cameron-wilson/
10,/critic/tom-birchenough/
11,/critic/nicole-einbinder/
12,/critic/brett-erlich/
13,/critic/sophie-atherton/
14,/critic/andy-edelstein/
15,/critic/jacqueline-bendy/
16,/critic/laina-dawes/
17,/critic/meaghan-agnew-22985/
18,/critic/jay-bamber/
19,/critic/barbara-beck/
20,/critic/arunava-chatterjee/
21,/critic/curtis-cook/
22,/critic/alex-davidson/
23,/critic/kevin-cirugeda/
24,/critic/dominique-cruz/
25,/critic/robert-abele/
26,/critic/lord-castleton/
27,/critic/essi-berelian/
28,/critic/eliza-berman/
29,/critic/jarred-bold/
30,/critic/daysun-chang/
31,/critic/ian-bunting/
32,/critic/robert-c-cumbow/
33,/critic/nandita-chowdhury/
34,/critic/chris-cox/
35,/critic/pete-clark/
36,/critic/hugh-blackstaffe/
37,/critic/tatiana-craine/
38,/critic/alex-berenson/
39,/critic/glenn-dunks/
40,/critic/jordan-decker/
41,/critic/georgie-carr/
42,/critic/erin-crabtree/
43,/critic/kid-cranky/
44,/critic/danny-anderson/
45,/critic/j-don-birnam/
46,/critic/bryan-durham/
47,/critic/kristal-cooper/
48,/critic/dave-alexander/
49,/critic/alicia-adejobi/
50,/critic/clive-davis/
51,/critic/steve-carey/
52,/critic/bob-campbell/
53,/critic/drew-grant-and-noam-cohen/
54,/critic/musanna-ahmed/
55,/critic/glenn-abel/
56,/critic/paul-arendt/
57,/critic/elfrieda-abbe/
58,/critic/whitney-balliett/
59,/critic/michael-feeney-callan/
60,/critic/richard-bardon/
61,/critic/milton-calopina/
62,/critic/adam-clement/
63,/critic/k-austin-collins/
64,/critic/maggie-coughlan/
65,/critic/rod-armstrong/
66,/critic/valerie-dunham/
67,/critic/scott-castle/
68,/critic/lewis-corner/
69,/critic/david-denby/
70,/critic/caroline-cao/
71,/critic/charles-f-barr/
72,/critic/stephen-m-deusner/
73,/critic/dominic-ellis/
74,/critic/taylor-adams/
75,/critic/juan-tomas-erbiti/
76,/critic/john-collis/
77,/critic/maggie-donahue/
78,/critic/mark-adams/
79,/critic/stephanie-ashe/
80,/critic/carmen-salas-cardenas/
81,/critic/sam-escobar/
82,/critic/simon-braund/
83,/critic/rob-caiati/
84,/critic/matt-bobkin/
85,/critic/sharon-eberson/
86,/critic/merrill-barr/
87,/critic/calvin-baxter/
88,/critic/jess-commons/
89,/critic/arnaud-desplechin/
90,/critic/alan-bunce/
91,/critic/jeremy-dunham/
92,/critic/gloria-daniels-moss/
93,/critic/meeta-agrawai/
94,/critic/caitlin-busch/
95,/critic/cicely-k-dyson/
96,/critic/kyle-counts/
97,/critic/misha-davenport/
98,/critic/bill-dupre/
99,/critic/lorna-codrai/
100,/critic/ecleen-caraballo/
101,/critic/chip-crews/
102,/critic/elizabeth-adetula/
103,/critic/nicole-brenez/
104,/critic/peter-beary/
105,/critic/micheal-compton/
106,/critic/ty-cooper/
107,/critic/chris-dahlen/
108,/critic/michael-t-dennis/
109,/critic/brent-dinunzio/
110,/critic/stassa-edwards/
111,/critic/edward-jay-epstein/
112,/critic/mehera-bonner/
113,/critic/bob-aulert/
114,/critic/melissa-bell/
115,/critic/glenn-collins/
116,/critic/amy-diluna/
117,/critic/liam-dunn/
118,/critic/jake-euker/
119,/critic/chester-bateman/
120,/critic/alex-chafey/
121,/critic/charlotte-cook/
122,/critic/jeff-strickler-and-jon-bream/
123,/critic/geoff-chapman/
124,/critic/angie-dahl/
125,/critic/michael-elliott/
126,/critic/jonathan-baumbach/
127,/critic/daudi-abe/
128,/critic/adam-bishop/
129,/critic/craig-blamer/
130,/critic/stephen-cavalier/
131,/critic/matt-donnelly/
132,/critic/noah-berlatsky/
133,/critic/carter-dotson/
134,/critic/ben-east/
135,/critic/matt-dunn/
136,/critic/nikki-chase/
137,/critic/katherine-chahrouri/
138,/critic/emily-blunt/
139,/critic/aaron-aradillas/
140,/critic/tj-barnard/
141,/critic/ginia-bellafante/
142,/critic/cameron-archer/
143,/critic/megan-carrigy/
144,/critic/joe-anderton/
145,/critic/julian-chambliss/
146,/critic/n-k-carter/
147,/critic/monica-altmayer/
148,/critic/ashley-collins/
149,/critic/paul-constant/
150,/critic/mark-van-doren/
151,/critic/eleanor-ringel-cater/
152,/critic/robert-cottrell/
153,/critic/francisco-j-ariza/
154,/critic/andrew-collins/
155,/critic/kaylee-dugan/
156,/critic/richard-eder/
157,/critic/jenna-anderson/
158,/critic/john-champagne/
159,/critic/gavin-borchert/
160,/critic/thomas-chau/
161,/critic/jim-bawden/
162,/critic/jenny-bullough/
163,/critic/rachel-aroesti/
164,/critic/trace-william-cowen-24925/
165,/critic/laura-entis/
166,/critic/renata-adler/
167,/critic/alex-chun/
168,/critic/melody-cooper/
169,/critic/kerry-douglas-dye/
170,/critic/jason-carter/
171,/critic/seeta-charan/
172,/critic/abigail-deutsch/
173,/critic/doug-elfman/
174,/critic/michael-buening/
175,/critic/samantha-allen/
176,/critic/simon-maxwell-apter/
177,/critic/jay-boller/
178,/critic/senh-duong/
179,/critic/marc-calderaro/
180,/critic/pilar-cuesta/
181,/critic/alex-doyle/
182,/critic/alex-bevan/
183,/critic/jordan-blum/
184,/critic/randall-colburn/
185,/critic/jim-agnew/
186,/critic/ailis-brennan/
187,/critic/rick-ellis/
188,/critic/indrapramit-das/
189,/critic/ben-croll/
190,/critic/neil-cohen/
191,/critic/justin-davidson/
192,/critic/gavia-baker-whitelaw/
193,/critic/jessica-dupras/
194,/critic/vanessa-buttino/
195,/critic/keith-cohen/
196,/critic/zena-dixon/
197,/critic/sophie-banks/
198,/critic/robert-denerstein/
199,/critic/virginia-blackburn/
200,/critic/stephen-becker/
201,/critic/peter-blackstock/
202,/critic/yvonne-zipp-and-kim-campbell/
203,/critic/patrick-davison/
204,/critic/henry-cabot-beck/
205,/critic/carrie-battan/
206,/critic/deborah-brown/
207,/critic/colin-donati/
208,/critic/jen-chaney/
209,/critic/eric-campos/
210,/critic/ted-drozdowski/
211,/critic/matthew-eng/
212,/critic/nate-deen/
213,/critic/vesper-arnett/
214,/critic/danette-chavez/
215,/critic/nathan-ditum/
216,/critic/garrett-chaffin-quiray/
217,/critic/edwin-arnaudin/
218,/critic/ja-conner/
219,/critic/juan-carlos-coto/
220,/critic/rebecca-bulnes/
221,/critic/caroline-crampton/
222,/critic/tracy-allen/
223,/critic/aliza-appelbaum/
224,/critic/ryan-carey/
225,/critic/christie-cronan/
226,/critic/catherine-chambers/
227,/critic/derek-donovan/
228,/critic/jaime-azrad/
229,/critic/john-derbyshire/
230,/critic/erik-adams/
231,/critic/bob-chipman/
232,/critic/john-corry/
233,/critic/eric-althoff/
234,/critic/james-barber/
235,/critic/david-betancourt/
236,/critic/david-elliott/
237,/critic/tobi-akingbade/
238,/critic/jimmy-aquino/
239,/critic/kate-brooks/
240,/critic/deekshita-baruah/
241,/critic/katrina-conaglen/
242,/critic/brian-drury/
243,/critic/flora-carr/
244,/critic/rick-bell/
245,/critic/diana-de-cabarrus/
246,/critic/stephanie-boland/
247,/critic/robert-crawford/
248,/critic/caroline-blinder/
249,/critic/susan-abram/
250,/critic/ian-crouch/
251,/critic/ken-eisner/
252,/critic/anthony-enticknap/
253,/critic/colin-campbell/
254,/critic/carloss-james-chamberlin/
255,/critic/brad-cook/
256,/critic/jennifer-lynde-barker/
257,/critic/jo-bradley/
258,/critic/mark-brown/
259,/critic/eve-drobot/
260,/critic/mathew-dekinder/
261,/critic/johnny-donaldson/
262,/critic/lucia-agosta/
263,/critic/anwar-brett/
264,/critic/matt-cohen/
265,/critic/luanne-brown/
266,/critic/megan-daley/
267,/critic/jake-coyle/
268,/critic/murtada-elfadl/
269,/critic/paul-brenner/
270,/critic/travis-crawford/
271,/critic/dana-barbuto/
272,/critic/milagros-amondaray/
273,/critic/thom-ernst/
274,/critic/david-carter/
275,/critic/katia-bachko/
276,/critic/gary-dinges/
277,/critic/maidel-barrett/
278,/critic/james-chamberlin/
279,/critic/robin-abrahams/
280,/critic/skylaire-alfvegren/
281,/critic/carlos-arias/
282,/critic/cathy-brennan/
283,/critic/eliana-dockterman/
284,/critic/raisa-bruner/
285,/critic/ellen-dunkel/
286,/critic/ryan-cooper/
287,/critic/louise-brealy/
288,/critic/eric-goldman-matt-fowler-scott-collura-and-joey-esposito/
289,/critic/marjorie-baumgarten/
290,/critic/sarah-begley/
291,/critic/siri-agrell/
292,/critic/zoe-bond/
293,/critic/rachel-deahl/
294,/critic/lisa-bernier/
295,/critic/tracie-cooper/
296,/critic/max-bentovim/
297,/critic/alex-bozikovic/
298,/critic/jane-clifford/
299,/critic/will-chadwick/
300,/critic/stephanie-carrie/
301,/critic/janet-h-cho/
302,/critic/kevin-collier/
303,/critic/asher-elbein/
304,/critic/stephen-l-betts/
305,/critic/david-benedict/
306,/critic/eve-barlow/
307,/critic/uday-bhatia/
308,/critic/alonso-duralde/
309,/critic/susannah-butter/
310,/critic/siobhan-eardley/
311,/critic/anthony-ray-bench/
312,/critic/tim-appelo/
313,/critic/diego-brodersen/
314,/critic/anna-altman/
315,/critic/massimo-commanducci/
316,/critic/bertie-archer/
317,/critic/jane-dark/
318,/critic/michael-j-agovino/
319,/critic/ryan-cracknell/
320,/critic/phillip-duncan-25221/
321,/critic/michael-chen-16216/
322,/critic/cory-cheney/
323,/critic/tom-ciorciari/
