id,id,url,title,genre,cag_rating,cag_release,tomatoScore,popcornScore,abs_squidScore,tScore_qcut,pScore_qcut,tScore_rnd,pScore_rnd,sScore_rnd,sScore_multi,sScore_Output,sScore,sScore_qcut
188,300,/m/wild_wild_west,Wild Wild West,Action & Adventure,PG-13,1999,17.0,28,11.0,0,0,1,2,1,0,no-one should,11.0,good
189,301,/m/mimic_2,Mimic 2,Horror,R,2001,8.0,12,4.0,0,0,8,1,4,0,no-one should,4.0,good
190,302,/m/whats_the_matter_with_kansas,What's the Matter with Kansas?,Documentary,NR,2009,60.0,59,1.0,1,1,6,5,1,1,no-one should,-1.0,okay
191,306,/m/1176223-mistress_of_spices,The Mistress of Spices,Drama,PG-13,2006,11.0,42,31.0,0,0,1,4,3,0,no-one should,31.0,best
192,307,/m/on_the_seventh_day,On the Seventh Day (En el Séptimo Día),Drama,NR,2018,100.0,69,31.0,4,2,1,6,3,8,critic dominant - risky,-31.0,worst
193,308,/m/1200743-wrecking_crew,The Wrecking Crew,Documentary,PG,2015,94.0,84,10.0,4,4,9,8,1,16,universal,-10.0,bad
194,310,/m/white-wedding,White Wedding,Art House & International,PG-13,2010,56.0,52,4.0,1,1,5,5,4,1,no-one should,-4.0,okay
195,311,/m/sint,Saint,Art House & International,NR,2011,50.0,29,21.0,1,0,5,2,2,0,no-one should,-21.0,worst
196,313,/m/1083461-avengers,The Avengers,Action & Adventure,PG-13,1998,5.0,15,10.0,0,0,5,1,1,0,no-one should,10.0,good
197,314,/m/my_love_dont_cross_that_river,"My Love, Don't Cross That River",Documentary,NR,2016,77.0,65,12.0,2,2,7,6,1,4,no-one should,-12.0,bad
198,315,/m/beauty_and_the_beast_2017,Beauty and the Beast,Drama,PG,2017,71.0,80,9.0,2,3,7,8,9,6,no-one should,9.0,good
199,318,/m/every_act_of_life,Every Act of Life,Documentary,NR,2017,89.0,100,11.0,3,4,8,1,1,12,toss up,11.0,good
200,319,/m/dreaming_of_joseph_lees,Dreaming of Joseph Lees,Drama,R,1999,36.0,56,20.0,0,1,3,5,2,0,no-one should,20.0,best
201,323,/m/the_quietude,The Quietude (La quietud),Drama,NR,2018,60.0,89,29.0,1,4,6,8,2,4,peanut dominant - risky,29.0,best
202,328,/m/black_balloon,The Black Balloon,Drama,PG-13,2008,85.0,84,1.0,3,4,8,8,1,12,toss up,-1.0,okay
203,329,/m/cowboy_del_amor,Cowboy del Amor,Documentary,G,2006,70.0,47,23.0,2,1,7,4,2,2,no-one should,-23.0,worst
204,333,/m/liam_as_it_was,Liam Gallagher: As It Was,Documentary,NR,2019,62.0,62,0.0,2,2,6,6,0,4,no-one should,0.0,okay
205,334,/m/time_crimes,Los Cronocrímenes (Timecrimes),Action & Adventure,R,2007,89.0,79,10.0,3,3,8,7,1,9,no-one should,-10.0,bad
206,335,/m/accompanist,The Accompanist (L' Accompagnatrice),Art House & International,PG,1992,75.0,73,2.0,2,3,7,7,2,6,no-one should,-2.0,okay
207,337,/m/steel_helmet,The Steel Helmet,Action & Adventure,NR,1951,100.0,86,14.0,4,4,1,8,1,16,universal,-14.0,bad
208,338,/m/rift,Rift (Rökkur),Drama,NR,2017,92.0,57,35.0,4,1,9,5,3,4,critic dominant - risky,-35.0,worst
209,339,/m/the-lightkeepers,The Lightkeepers,Comedy,PG,2010,20.0,47,27.0,0,1,2,4,2,0,no-one should,27.0,best
210,340,/m/1007110-farewell_my_lovely,"Farewell, My Lovely",Classics,R,1975,80.0,74,6.0,3,3,8,7,6,9,no-one should,-6.0,okay
211,342,/m/breaking_and_entering,Breaking and Entering,Drama,R,2007,34.0,52,18.0,0,1,3,5,1,0,no-one should,18.0,best
212,343,/m/jurassic_world,Jurassic World,Action & Adventure,PG-13,2015,72.0,78,6.0,2,3,7,7,6,6,no-one should,6.0,good
213,344,/m/city_streets,City Streets,Drama,NR,1931,80.0,81,1.0,3,3,8,8,1,9,no-one should,1.0,okay
214,345,/m/not_of_this_earth_1988,Not of this Earth,Comedy,R,1988,40.0,21,19.0,1,0,4,2,1,0,no-one should,-19.0,worst
215,348,/m/starting_over,Starting Over,Comedy,R,1979,100.0,58,42.0,4,1,1,5,4,4,critic dominant - risky,-42.0,worst
216,349,/m/love_and_honor,Love and Honor,Art House & International,PG-13,2007,80.0,84,4.0,3,4,8,8,4,12,toss up,4.0,good
217,350,/m/irina_palm,Irina Palm,Art House & International,R,2008,67.0,77,10.0,2,3,6,7,1,6,no-one should,10.0,good
218,351,/m/changing_lanes,Changing Lanes,Action & Adventure,R,2002,77.0,53,24.0,2,1,7,5,2,2,no-one should,-24.0,worst
219,353,/m/saints_and_soldiers,Saints and Soldiers,Action & Adventure,PG-13,2004,66.0,77,11.0,2,3,6,7,1,6,no-one should,11.0,good
220,354,/m/i_got_life,Aurore (I Got Life!),Art House & International,NR,2017,94.0,67,27.0,4,2,9,6,2,8,critic dominant - risky,-27.0,worst
221,355,/m/1188347-mad_money,Mad Money,Comedy,PG-13,2008,22.0,48,26.0,0,1,2,4,2,0,no-one should,26.0,best
222,356,/m/five_obstructions,The Five Obstructions,Art House & International,NR,2003,88.0,85,3.0,3,4,8,8,3,12,toss up,-3.0,okay
223,358,/m/american_violet,American Violet,Drama,PG-13,2009,75.0,79,4.0,2,3,7,7,4,6,no-one should,4.0,good
224,359,/m/bride_of_the_wind,Bride of the Wind,Drama,R,2001,11.0,40,29.0,0,0,1,4,2,0,no-one should,29.0,best
225,363,/m/the_brink_2019,The Brink,Documentary,NR,2019,84.0,58,26.0,3,1,8,5,2,3,no-one should,-26.0,worst
226,364,/m/what_a_man_2011,What A Man,Art House & International,R,2012,50.0,33,17.0,1,0,5,3,1,0,no-one should,-17.0,bad
227,365,/m/plagues_and_pleasures_on_the_salton_sea,Plagues & Pleasures on the Salton Sea,Documentary,NR,2004,96.0,86,10.0,4,4,9,8,1,16,universal,-10.0,bad
228,366,/m/firelight,Firelight,Art House & International,R,1997,50.0,83,33.0,1,4,5,8,3,4,peanut dominant - risky,33.0,best
229,367,/m/dora_and_the_lost_city_of_gold,Dora and the Lost City of Gold,Action & Adventure,PG,2019,84.0,84,0.0,3,4,8,8,0,12,toss up,0.0,okay
230,369,/m/loves_of_a_blonde,Loves of a Blonde (Lásky jedné plavovlásky),Art House & International,NR,1966,93.0,85,8.0,4,4,9,8,8,16,universal,-8.0,bad
231,370,/m/tank_girl,Tank Girl,Action & Adventure,R,1995,38.0,63,25.0,0,2,3,6,2,0,no-one should,25.0,best
232,371,/m/blooded,Blooded,Art House & International,NR,2010,22.0,23,1.0,0,0,2,2,1,0,no-one should,1.0,okay
233,373,/m/the_tall_man_2012,The Tall Man,Horror,R,2012,43.0,38,5.0,1,0,4,3,5,0,no-one should,-5.0,okay
234,374,/m/change_in_the_air_2018,Change in the Air,Drama,PG,2018,11.0,71,60.0,0,2,1,7,6,0,no-one should,60.0,best
235,376,/m/whats_in_a_name_2013,What's In A Name?,Comedy,NR,2013,71.0,74,3.0,2,3,7,7,3,6,no-one should,3.0,good
236,377,/m/dukes,The Dukes,Comedy,PG-13,2007,57.0,34,23.0,1,0,5,3,2,0,no-one should,-23.0,worst
237,384,/m/looking_for_eric,Looking for Eric,Art House & International,G,2010,85.0,78,7.0,3,3,8,7,7,9,no-one should,-7.0,okay
238,385,/m/kikis_delivery_service,Kiki's Delivery Service,Action & Adventure,G,1989,97.0,88,9.0,4,4,9,8,9,16,universal,-9.0,bad
239,386,/m/metallica_some_kind_of_monster,Metallica: Some Kind of Monster,Documentary,R,2004,89.0,83,6.0,3,4,8,8,6,12,toss up,-6.0,okay
240,389,/m/the_great_wall_2017,The Great Wall,Action & Adventure,PG-13,2017,36.0,42,6.0,0,0,3,4,6,0,no-one should,6.0,good
241,390,/m/grown_ups,Grown Ups,Comedy,PG-13,2010,10.0,62,52.0,0,2,1,6,5,0,no-one should,52.0,best
242,391,/m/50_to_1,50 to 1,Drama,PG-13,2014,17.0,70,53.0,0,2,1,7,5,0,no-one should,53.0,best
243,392,/m/patch_of_blue,A Patch of Blue,Classics,NR,2000,100.0,91,9.0,4,4,1,9,9,16,universal,-9.0,bad
244,393,/m/the_real_dirt_on_farmer_john_2007,The Real Dirt on Farmer John,Documentary,NR,2007,88.0,78,10.0,3,3,8,7,1,9,no-one should,-10.0,bad
245,394,/m/the_apostate_2016,The Apostate (El Apóstata),Comedy,NR,2016,78.0,34,44.0,2,0,7,3,4,0,no-one should,-44.0,worst
246,395,/m/galaxina,Galaxina,Comedy,R,1980,17.0,24,7.0,0,0,1,2,7,0,no-one should,7.0,good
247,396,/m/summer-wars,Summer Wars (Sama Wozu),Action & Adventure,PG,2010,77.0,88,11.0,2,4,7,8,1,8,peanut dominant - risky,11.0,good
248,398,/m/pulse,Pulse,Horror,PG-13,2006,11.0,27,16.0,0,0,1,2,1,0,no-one should,16.0,best
249,399,/m/ride_2018,Ride,Mystery & Suspense,PG-13,2018,33.0,38,5.0,0,0,3,3,5,0,no-one should,5.0,good
250,406,/m/darkon,Darkon,Documentary,NR,2006,89.0,65,24.0,3,2,8,6,2,6,no-one should,-24.0,worst
251,408,/m/the_look_of_love_2013,The Look of Love,Comedy,NR,2013,54.0,35,19.0,1,0,5,3,1,0,no-one should,-19.0,worst
252,409,/m/1135754-bushs_brain,Bush's Brain,Documentary,PG-13,2004,63.0,58,5.0,2,1,6,5,5,2,no-one should,-5.0,okay
253,410,/m/knife_in_the_water,Knife in the Water,Art House & International,NR,1962,100.0,85,15.0,4,4,1,8,1,16,universal,-15.0,bad
254,412,/m/goodbye_to_all_that,Goodbye to All That,Comedy,NR,2014,62.0,31,31.0,2,0,6,3,3,0,no-one should,-31.0,worst
255,413,/m/san_francisco,San Francisco,Classics,NR,1936,100.0,71,29.0,4,2,1,7,2,8,critic dominant - risky,-29.0,worst
256,416,/m/jack_smith_and_the_destruction_of_atlantis,Jack Smith and the Destruction of Atlantis,Documentary,NR,2006,85.0,86,1.0,3,4,8,8,1,12,toss up,1.0,okay
257,417,/m/chan_is_missing,Chan Is Missing,Art House & International,R,1982,100.0,75,25.0,4,3,1,7,2,12,toss up,-25.0,worst
258,419,/m/jesse_james_meets_frankensteins_daughter,Jesse James Meets Frankenstein's Daughter,Horror,NR,1965,14.0,11,3.0,0,0,1,1,3,0,no-one should,-3.0,okay
259,422,/m/beatles_the_yellow_submarine,Yellow Submarine,Action & Adventure,G,1968,97.0,84,13.0,4,4,9,8,1,16,universal,-13.0,bad
260,424,/m/off_limits,Off Limits,Action & Adventure,R,1988,50.0,32,18.0,1,0,5,3,1,0,no-one should,-18.0,worst
261,426,/m/1010685-invasion_usa,Invasion U.S.A.,Action & Adventure,PG,1985,18.0,51,33.0,0,1,1,5,3,0,no-one should,33.0,best
262,428,/m/flying_blind_2012,Flying Blind,Drama,NR,2013,50.0,45,5.0,1,1,5,4,5,1,no-one should,-5.0,okay
263,432,/m/america_brown,America Brown,Art House & International,NR,2004,80.0,50,30.0,3,1,8,5,3,3,no-one should,-30.0,worst
264,434,/m/relentless,Relentless,Action & Adventure,R,1989,40.0,34,6.0,1,0,4,3,6,0,no-one should,-6.0,okay
265,437,/m/jiminy_glick_in_lalawood,Jiminy Glick in Lalawood,Action & Adventure,R,2005,22.0,32,10.0,0,0,2,3,1,0,no-one should,10.0,good
266,438,/m/unmarried_woman,An Unmarried Woman,Comedy,R,1978,91.0,72,19.0,4,3,9,7,1,12,toss up,-19.0,worst
267,439,/m/mighty_wind,A Mighty Wind,Comedy,PG-13,2003,87.0,75,12.0,3,3,8,7,1,9,no-one should,-12.0,bad
268,441,/m/snowflake,Snowflake (Schneeflöckchen),Action & Adventure,NR,2017,100.0,91,9.0,4,4,1,9,9,16,universal,-9.0,bad
269,442,/m/jolene,Jolene,Drama,R,2008,48.0,44,4.0,1,0,4,4,4,0,no-one should,-4.0,okay
270,443,/m/jonestown_the_life_and_death_of_peoples_temple,American Experience,Documentary,NR,2006,94.0,89,5.0,4,4,9,8,5,16,universal,-5.0,okay
271,444,/m/grumpier_old_men,Grumpier Old Men,Comedy,PG-13,1995,17.0,62,45.0,0,2,1,6,4,0,no-one should,45.0,best
272,446,/m/the_two_jakes,The Two Jakes,Comedy,R,1990,68.0,38,30.0,2,0,6,3,3,0,no-one should,-30.0,worst
273,448,/m/1068461-heavy_metal,Heavy Metal,Action & Adventure,R,1981,60.0,67,7.0,1,2,6,6,7,2,no-one should,7.0,good
274,450,/m/district_13_ultimatum,Banlieue 13 - Ultimatum (District 13: Ultimatum),Action & Adventure,R,2009,74.0,55,19.0,2,1,7,5,1,2,no-one should,-19.0,worst
275,451,/m/paper_moon,Paper Moon,Classics,PG,1973,92.0,94,2.0,4,4,9,9,2,16,universal,2.0,good
276,452,/m/an-evening-with-kevin-smith,An Evening with Kevin Smith,Comedy,NR,2001,100.0,92,8.0,4,4,1,9,8,16,universal,-8.0,bad
277,455,/m/the_nightingale_2018,The Nightingale,Drama,R,2019,86.0,80,6.0,3,3,8,8,6,9,no-one should,-6.0,okay
278,456,/m/bandit_queen,Bandit Queen,Art House & International,R,1995,100.0,83,17.0,4,4,1,8,1,16,universal,-17.0,bad
279,457,/m/a_bread_factory_part_two_walk_with_me_a_while,"A Bread Factory, Part Two: Walk with Me a While",Drama,NR,2018,100.0,83,17.0,4,4,1,8,1,16,universal,-17.0,bad
280,459,/m/summer_of_sam,Summer of Sam,Drama,R,1999,51.0,60,9.0,1,1,5,6,9,1,no-one should,9.0,good
281,460,/m/marc_pease_experience,The Marc Pease Experience,Comedy,PG-13,2009,18.0,14,4.0,0,0,1,1,4,0,no-one should,-4.0,okay
282,461,/m/repentance_2014,Repentance,Horror,R,2014,20.0,42,22.0,0,0,2,4,2,0,no-one should,22.0,best
283,462,/m/loitering_with_intent,Loitering With Intent,Comedy,NR,2015,33.0,26,7.0,0,0,3,2,7,0,no-one should,-7.0,okay
284,463,/m/mon_mon_mon_monsters,Mon Mon Mon Monsters,Art House & International,NR,2017,78.0,53,25.0,2,1,7,5,2,2,no-one should,-25.0,worst
285,465,/m/1112553-risk,Risk,Action & Adventure,R,2000,80.0,50,30.0,3,1,8,5,3,3,no-one should,-30.0,worst
286,466,/m/desperate_remedies,Desperate Remedies,Drama,R,1993,40.0,73,33.0,1,3,4,7,3,3,no-one should,33.0,best
287,467,/m/the-evil-dead,The Evil Dead,Horror,R,1981,95.0,84,11.0,4,4,9,8,1,16,universal,-11.0,bad
288,469,/m/chorus_line,A Chorus Line,Comedy,PG-13,1985,40.0,62,22.0,1,2,4,6,2,2,no-one should,22.0,best
289,470,/m/1004329-cleopatra,Cleopatra,Classics,NR,1934,82.0,66,16.0,3,2,8,6,1,6,no-one should,-16.0,bad
290,471,/m/sunflower_2007,Sunflower,Art House & International,NR,2007,69.0,74,5.0,2,3,6,7,5,6,no-one should,5.0,good
291,475,/m/the_whisperer_in_darkness_2011,The Whisperer In Darkness,Science Fiction & Fantasy,NR,2011,86.0,65,21.0,3,2,8,6,2,6,no-one should,-21.0,worst
292,476,/m/1011392-kansas,Kansas,Action & Adventure,R,1988,20.0,19,1.0,0,0,2,1,1,0,no-one should,-1.0,okay
293,477,/m/kellys_heroes,Kelly's Heroes,Action & Adventure,PG,1970,76.0,88,12.0,2,4,7,8,1,8,peanut dominant - risky,12.0,good
294,478,/m/just_a_little_harmless_sex,Just a Little Harmless Sex,Comedy,R,1999,20.0,53,33.0,0,1,2,5,3,0,no-one should,33.0,best
295,479,/m/suburbia,Suburbia,Comedy,R,1997,65.0,68,3.0,2,2,6,6,3,4,no-one should,3.0,good
296,480,/m/blind-chance,Blind Chance (Przypadek),Art House & International,NR,1989,70.0,86,16.0,2,4,7,8,1,8,peanut dominant - risky,16.0,best
297,481,/m/late_autumn_1973,Late Autumn (Akibiyori),Art House & International,NR,1973,100.0,87,13.0,4,4,1,8,1,16,universal,-13.0,bad
298,482,/m/shanghai_triad,Shanghai Triad (Yao a yao yao dao waipo qiao),Action & Adventure,R,1995,87.0,71,16.0,3,2,8,7,1,6,no-one should,-16.0,bad
299,483,/m/the-hero-of-color-city,The Hero of Color City,Animation,G,2014,25.0,48,23.0,0,1,2,4,2,0,no-one should,23.0,best
300,484,/m/the_white_king,The White King,Action & Adventure,NR,2017,71.0,62,9.0,2,2,7,6,9,4,no-one should,-9.0,bad
301,486,/m/best_worst_thing_that_ever_could_have_happened_2016,Best Worst Thing That Ever Could Have Happened...,Documentary,NR,2016,94.0,76,18.0,4,3,9,7,1,12,toss up,-18.0,worst
302,488,/m/the_boxtrolls,The Boxtrolls,Action & Adventure,PG,2014,77.0,63,14.0,2,2,7,6,1,4,no-one should,-14.0,bad
303,490,/m/gregory_crewdson_brief_encounters_2012,Gregory Crewdson: Brief Encounters,Documentary,NR,2012,94.0,83,11.0,4,4,9,8,1,16,universal,-11.0,bad
304,491,/m/saints_and_sinners_2004,Saints and Sinners,Documentary,NR,2004,64.0,17,47.0,2,0,6,1,4,0,no-one should,-47.0,worst
305,496,/m/7_days_in_havana,7 Days in Havana,Drama,NR,2012,40.0,33,7.0,1,0,4,3,7,0,no-one should,-7.0,okay
306,497,/m/return-of-the-secaucus-seven,Return of the Secaucus Seven,Art House & International,R,1980,81.0,74,7.0,3,3,8,7,7,9,no-one should,-7.0,okay
307,498,/m/lovers_and_other_strangers,Lovers and Other Strangers,Comedy,PG,1971,100.0,71,29.0,4,2,1,7,2,8,critic dominant - risky,-29.0,worst
308,499,/m/the_big_short,The Big Short,Drama,R,2015,88.0,87,1.0,3,4,8,8,1,12,toss up,-1.0,okay
309,500,/m/1157247-london,London,Drama,R,2006,14.0,60,46.0,0,1,1,6,4,0,no-one should,46.0,best
310,501,/m/1009058-gung_ho,Gung Ho,Comedy,PG-13,1986,33.0,45,12.0,0,1,3,4,1,0,no-one should,12.0,good
311,502,/m/the_boy_downstairs,The Boy Downstairs,Comedy,PG-13,2018,63.0,39,24.0,2,0,6,3,2,0,no-one should,-24.0,worst
312,505,/m/jai_ho,Jai Ho,Action & Adventure,NR,2014,20.0,47,27.0,0,1,2,4,2,0,no-one should,27.0,best
313,510,/m/sylvio,Sylvio,Comedy,NR,2017,85.0,74,11.0,3,3,8,7,1,9,no-one should,-11.0,bad
314,512,/m/yolanda_and_the_thief,Yolanda and the Thief,Comedy,NR,1945,80.0,53,27.0,3,1,8,5,2,3,no-one should,-27.0,worst
315,513,/m/rara_2015,Rara,Art House & International,NR,2016,100.0,70,30.0,4,2,1,7,3,8,critic dominant - risky,-30.0,worst
316,514,/m/uncle_howard,Uncle Howard,Documentary,NR,2016,91.0,60,31.0,4,1,9,6,3,4,critic dominant - risky,-31.0,worst
317,516,/m/blade_ii,Blade II,Action & Adventure,R,2002,57.0,68,11.0,1,2,5,6,1,2,no-one should,11.0,good
318,517,/m/spiderman_2,Spider-Man 2,Action & Adventure,PG-13,2004,93.0,82,11.0,4,3,9,8,1,12,toss up,-11.0,bad
319,518,/m/flyboys,Flyboys,Action & Adventure,PG-13,2006,33.0,67,34.0,0,2,3,6,3,0,no-one should,34.0,best
320,519,/m/losing_ground_1982,Losing Ground,Comedy,NR,1982,100.0,33,67.0,4,0,1,3,6,0,no-one should,-67.0,worst
321,522,/m/emperors_new_groove,The Emperor's New Groove,Animation,G,2000,85.0,83,2.0,3,4,8,8,2,12,toss up,-2.0,okay
322,523,/m/milius,Milius,Documentary,NR,2013,94.0,87,7.0,4,4,9,8,7,16,universal,-7.0,okay
323,524,/m/about_adam,About Adam,Art House & International,R,2000,68.0,47,21.0,2,1,6,4,2,2,no-one should,-21.0,worst
324,526,/m/1086058-bridge,The Bridge (Die Brücke),Art House & International,NR,1959,100.0,87,13.0,4,4,1,8,1,16,universal,-13.0,bad
325,529,/m/rosenstrasse,Rosenstrasse,Art House & International,PG-13,2004,55.0,68,13.0,1,2,5,6,1,2,no-one should,13.0,good
326,530,/m/star_trek_ii_the_wrath_of_khan,Star Trek II: The Wrath of Khan,Action & Adventure,PG,1982,87.0,90,3.0,3,4,8,9,3,12,toss up,3.0,good
327,531,/m/jim_2010,Jim,Drama,NR,2010,38.0,29,9.0,0,0,3,2,9,0,no-one should,-9.0,bad
328,532,/m/the_land_girls,The Land Girls,Comedy,R,1998,61.0,53,8.0,2,1,6,5,8,2,no-one should,-8.0,bad
329,533,/m/my_life_as_a_zucchini,My Life as a Zucchini (Ma vie de courgette),Animation,PG-13,2017,98.0,88,10.0,4,4,9,8,1,16,universal,-10.0,bad
330,534,/m/happythankyoumoreplease,HappyThankYouMorePlease,Comedy,R,2011,42.0,60,18.0,1,1,4,6,1,1,no-one should,18.0,best
331,535,/m/3_and_12_minutes_10_bullets,"3 And 1/2 Minutes, 10 Bullets",Documentary,NR,2015,100.0,88,12.0,4,4,1,8,1,16,universal,-12.0,bad
332,536,/m/leprechaun-in-the-hood,Leprechaun in the Hood,Horror,R,2000,22.0,32,10.0,0,0,2,3,1,0,no-one should,10.0,good
333,538,/m/asbury_park_riot_redemption_rock_n_roll,"Asbury Park: Riot, Redemption, Rock n Roll",Documentary,NR,2019,100.0,88,12.0,4,4,1,8,1,16,universal,-12.0,bad
334,539,/m/h_2014,H.,Drama,NR,2014,89.0,34,55.0,3,0,8,3,5,0,no-one should,-55.0,worst
335,540,/m/dohee_ya,Dohee-ya (A Girl at My Door),Art House & International,NR,2015,93.0,74,19.0,4,3,9,7,1,12,toss up,-19.0,worst
336,545,/m/spinning_man,Spinning Man,Mystery & Suspense,R,2018,42.0,37,5.0,1,0,4,3,5,0,no-one should,-5.0,okay
337,546,/m/10011721-broken_hill,Broken Hill,Drama,PG,2009,50.0,61,11.0,1,2,5,6,1,2,no-one should,11.0,good
338,549,/m/ive_heard_the_mermaids_singing,I've Heard the Mermaids Singing,Art House & International,R,1987,100.0,68,32.0,4,2,1,6,3,8,critic dominant - risky,-32.0,worst
339,550,/m/10010667-hangover,The Hangover,Comedy,R,2009,78.0,84,6.0,2,4,7,8,6,8,peanut dominant - risky,6.0,good
340,553,/m/spring_breakdown,Spring Breakdown,Comedy,R,2009,55.0,27,28.0,1,0,5,2,2,0,no-one should,-28.0,worst
341,555,/m/schneider_vs_bax,Schneider vs. Bax,Comedy,NR,2015,63.0,51,12.0,2,1,6,5,1,2,no-one should,-12.0,bad
342,556,/m/1042466-boiling_point,Boiling Point,Action & Adventure,R,1993,18.0,21,3.0,0,0,1,2,3,0,no-one should,3.0,good
343,557,/m/joe_dirt,Joe Dirt,Comedy,PG-13,2001,11.0,63,52.0,0,2,1,6,5,0,no-one should,52.0,best
344,559,/m/the_lodgers,The Lodgers,Horror,R,2018,55.0,43,12.0,1,0,5,4,1,0,no-one should,-12.0,bad
345,561,/m/house_of_wax_2005,House of Wax,Horror,R,2005,26.0,42,16.0,0,0,2,4,1,0,no-one should,16.0,best
346,562,/m/1001074-anne_of_green_gables,Anne of Green Gables,Drama,G,1985,100.0,96,4.0,4,4,1,9,4,16,universal,-4.0,okay
347,563,/m/source_code,Source Code,Action & Adventure,PG-13,2011,92.0,82,10.0,4,3,9,8,1,12,toss up,-10.0,bad
348,564,/m/hey_arnold_the_jungle_movie,Hey Arnold! The Jungle Movie,Comedy,NR,2017,100.0,93,7.0,4,4,1,9,7,16,universal,-7.0,okay
349,565,/m/man_is_not_a_bird,Man is Not a Bird (Covek nije tica),Art House & International,NR,1965,100.0,79,21.0,4,3,1,7,2,12,toss up,-21.0,worst
350,568,/m/grey_owl,Grey Owl,Drama,PG-13,1999,17.0,56,39.0,0,1,1,5,3,0,no-one should,39.0,best
351,570,/m/rocket_singh_salesman_of_the_year,Rocket Singh - Salesman of the Year,Art House & International,PG,2009,83.0,67,16.0,3,2,8,6,1,6,no-one should,-16.0,bad
352,571,/m/flaming_star,Flaming Star,Action & Adventure,PG,1960,91.0,72,19.0,4,3,9,7,1,12,toss up,-19.0,worst
353,572,/m/1016584-poseidon_adventure,The Poseidon Adventure,Action & Adventure,PG,1972,79.0,75,4.0,3,3,7,7,4,9,no-one should,-4.0,okay
354,573,/m/dance_me_outside,Dance Me Outside,Drama,R,1994,69.0,91,22.0,2,4,6,9,2,8,peanut dominant - risky,22.0,best
355,574,/m/here_and_there,Here and There,Art House & International,NR,2010,67.0,67,0.0,2,2,6,6,0,4,no-one should,0.0,okay
356,576,/m/affair_of_the_necklace,The Affair of the Necklace,Drama,R,2001,15.0,43,28.0,0,0,1,4,2,0,no-one should,28.0,best
357,577,/m/carbon_nation,Carbon Nation,Documentary,PG,2011,40.0,76,36.0,1,3,4,7,3,3,no-one should,36.0,best
358,579,/m/to_the_wonder,To The Wonder,Drama,R,2013,46.0,37,9.0,1,0,4,3,9,0,no-one should,-9.0,bad
359,582,/m/1014804-neighbors,Neighbors,Comedy,R,1981,63.0,49,14.0,2,1,6,4,1,2,no-one should,-14.0,bad
360,583,/m/mau_mau_sex_sex,Mau Mau Sex Sex,Documentary,NR,2001,78.0,60,18.0,2,1,7,6,1,2,no-one should,-18.0,worst
361,584,/m/chicago_10,Chicago 10,Animation,R,2008,81.0,77,4.0,3,3,8,7,4,9,no-one should,-4.0,okay
362,585,/m/django_unchained_2012,Django Unchained,Drama,R,2012,86.0,91,5.0,3,4,8,9,5,12,toss up,5.0,good
363,586,/m/greasers_palace,Greaser's Palace,Classics,NR,1972,50.0,61,11.0,1,2,5,6,1,2,no-one should,11.0,good
364,587,/m/all_that_jazz,All That Jazz,Drama,R,1979,85.0,86,1.0,3,4,8,8,1,12,toss up,1.0,okay
365,588,/m/shock_treatment,Shock Treatment,Comedy,PG,1981,57.0,62,5.0,1,2,5,6,5,2,no-one should,5.0,good
366,589,/m/beyond_the_time_barrier,Beyond the Time Barrier,Classics,NR,1960,60.0,35,25.0,1,0,6,3,2,0,no-one should,-25.0,worst
367,590,/m/jack_and_jill_vs_the_world,Jack and Jill vs. the World,Comedy,PG-13,2008,25.0,30,5.0,0,0,2,3,5,0,no-one should,5.0,good
368,591,/m/the_killing_of_a_sacred_deer,The Killing of a Sacred Deer,Drama,R,2017,80.0,65,15.0,3,2,8,6,1,6,no-one should,-15.0,bad
369,592,/m/swiss_army_man,Swiss Army Man,Drama,R,2016,71.0,72,1.0,2,3,7,7,1,6,no-one should,1.0,okay
370,593,/m/dream_house_2011,Dream House,Mystery & Suspense,PG-13,2011,6.0,36,30.0,0,0,6,3,3,0,no-one should,30.0,best
371,595,/m/the_endless,The Endless,Horror,NR,2018,93.0,67,26.0,4,2,9,6,2,8,critic dominant - risky,-26.0,worst
372,596,/m/1209933-puss_in_boots,Puss in Boots,Action & Adventure,PG,2011,85.0,67,18.0,3,2,8,6,1,6,no-one should,-18.0,worst
373,597,/m/the_program,The Program,Drama,R,2016,62.0,43,19.0,2,0,6,4,1,0,no-one should,-19.0,worst
374,598,/m/midnighters,Midnighters,Drama,NR,2018,81.0,34,47.0,3,0,8,3,4,0,no-one should,-47.0,worst
375,602,/m/criminal_life_of_archibaldo_de_la_cruz,The Criminal Life of Archibaldo de la Cruz (Ensayo de un crimen)(Rehearsal for a Crime),Art House & International,NR,1955,100.0,93,7.0,4,4,1,9,7,16,universal,-7.0,okay
376,605,/m/1014167-monte_walsh,Monte Walsh,Action & Adventure,PG-13,1970,88.0,64,24.0,3,2,8,6,2,6,no-one should,-24.0,worst
377,608,/m/the_guilty_2018,The Guilty (Den skyldige),Drama,R,2018,98.0,87,11.0,4,4,9,8,1,16,universal,-11.0,bad
378,609,/m/cleo_de_5_a_7,Cleo From 5 to 7 (Cléo de 5 à 7),Art House & International,NR,1961,96.0,89,7.0,4,4,9,8,7,16,universal,-7.0,okay
379,610,/m/women_on_the_verge_of_a_nervous_breakdown,Women on the Verge of a Nervous Breakdown (Mujeres al Borde de un Ataque de Nervios),Art House & International,R,1988,89.0,89,0.0,3,4,8,8,0,12,toss up,0.0,okay
