id,title,genre,cag_rating,cag_release,sScore,sScore_qcut
107,A Scandal in Paris,Action & Adventure,NR,1946,-7.0,okay
108,A Delicate Balance,Classics,PG,1973,-8.0,bad
109,Lisztomania,Comedy,R,1975,14.0,good
110,La Ronde,Art House & International,NR,1950,-16.0,bad
111,Black and White,Drama,NR,2002,13.0,good
112,Crime & Punishment in Suburbia,Art House & International,R,2000,37.0,best
113,Pete Seeger: The Power of Song,Documentary,PG,2007,-3.0,okay
114,The Female Brain,Comedy,NR,2018,14.0,good
115,The Leopard Man,Drama,PG,1943,-25.0,worst
116,The Missing Gun,Art House & International,PG-13,2003,29.0,best
117,Dhanak,Drama,NR,2015,3.0,good
118,The Whole Gritty City,Documentary,NR,2013,-7.0,okay
119,MacGruber,Action & Adventure,R,2010,-13.0,bad
120,Happy Hunting,Art House & International,NR,2017,-54.0,worst
121,"Monrovia, Indiana",Documentary,NR,2018,-25.0,worst
122,Adam & Steve,Comedy,R,2005,2.0,good
123,Bride Flight,Art House & International,R,2011,8.0,good
124,How Murray Saved Christmas,Animation,NR,2014,12.0,good
125,Dangerous,Classics,G,1935,-19.0,worst
126,The Adventures of Prince Achmed,Animation,NR,1926,-10.0,bad
127,The King of Masks,Art House & International,NR,1999,2.0,good
128,One Mile Away,Documentary,NR,2013,25.0,best
129,Tashan,Action & Adventure,NR,2008,-31.0,worst
130,XXX,Action & Adventure,PG-13,2002,10.0,good
131,Half Moon,Drama,NR,2007,-23.0,worst
132,Comfort and Joy,Comedy,PG,1984,-19.0,worst
133,The Day the Earth Caught Fire,Drama,NR,1962,6.0,good
134,Darlin',Horror,NR,2019,-13.0,bad
135,Diary of the Dead,Horror,R,2007,-21.0,worst
136,Teacher,Drama,NR,2019,-31.0,worst
137,Hey is Dee Dee Home,Documentary,NR,2003,-18.0,worst
138,New In Town,Comedy,PG,2009,9.0,good
139,Nativity 2,Comedy,NR,2013,13.0,good
140,The Housemaid,Art House & International,NR,2011,-17.0,bad
141,The Ballad of Lefty Brown,Western,R,2017,-25.0,worst
142,Seducing Doctor Lewis (La grande séduction),Art House & International,NR,2004,18.0,best
143,Dangerous Liaisons,Art House & International,NR,2012,-15.0,bad
144,The Other Man: F.W. de Klerk and the End of Apartheid,Documentary,NR,2015,-17.0,bad
