id,title,genre,cag_rating,cag_release,sScore,sScore_qcut
455,The Lover (L'amant),Art House & International,R,1992,47.0,best
456,A Promise,Comedy,R,2014,10.0,good
457,Basket Case,Horror,R,1982,-22.0,worst
458,Bring It On,Comedy,PG-13,2000,3.0,good
459,Desperate Journey,Action & Adventure,NR,1942,-1.0,okay
460,Pixels,Animation,PG-13,2015,30.0,best
461,These Three,Classics,NR,1936,-24.0,worst
462,Winter Sleepers,Art House & International,R,1997,3.0,good
463,Bringing Up Bobby,Comedy,PG-13,2012,16.0,best
464,Stanley & Iris,Drama,PG-13,1990,16.0,best
465,Dagon,Drama,R,2001,-11.0,bad
466,The Collection,Action & Adventure,R,2012,11.0,good
467,Demon House,Documentary,NR,2018,21.0,best
468,Angels in the Outfield,Comedy,PG,1994,16.0,best
469,Hemingway & Gellhorn,Drama,R,2012,-9.0,bad
470,Daniel & Ana,Drama,NR,2010,33.0,best
471,At Middleton,Comedy,R,2014,-14.0,bad
472,Shadow Dancer,Drama,R,2013,-31.0,worst
473,Before the Fall (Napola),Art House & International,NR,2004,17.0,best
474,La Bare,Documentary,R,2014,-13.0,bad
475,Cardinals,Mystery & Suspense,NR,2017,8.0,good
476,A Brilliant Young Mind,Comedy,PG-13,2015,-9.0,bad
477,Muppets Most Wanted,Comedy,PG,2014,-21.0,worst
478,Collateral Damage,Action & Adventure,R,2002,8.0,good
479,The Handmaid's Tale,Drama,R,1990,16.0,best
480,An Open Secret,Documentary,R,2015,-11.0,bad
481,The Flat,Art House & International,NR,2012,-13.0,bad
482,He Ran All the Way,Classics,NR,1951,-30.0,worst
483,The Return,Drama,PG-13,2006,16.0,best
484,"I Am Nojoom, Age 10 And Divorced",Drama,NR,2014,-38.0,worst
485,Prick Up Your Ears,Art House & International,R,1987,-15.0,bad
486,Nobelity,Documentary,NR,2006,42.0,best
487,Deep Impact,Action & Adventure,PG-13,1998,-2.0,okay
488,The Wedding Year,Comedy,R,2019,36.0,best
489,Dark Horse,Documentary,PG,2016,-19.0,worst
490,The Searchers,Action & Adventure,PG,1956,-10.0,bad
491,The Vatican Tapes,Drama,PG-13,2015,40.0,best
492,The Unforeseen,Documentary,NR,2008,-21.0,worst
493,ABC Africa,Documentary,NR,2002,2.0,good
494,Tarzan Escapes,Action & Adventure,NR,1936,-13.0,bad
495,An Affair of the Heart,Documentary,NR,2012,3.0,good
496,Dolphins and Whales 3D: Tribes of the Ocean,Documentary,G,2008,-13.0,bad
497,The New Romantic,Comedy,NR,2018,-16.0,bad
498,Georges Bataille's Story of the Eye,Drama,NR,2004,-26.0,worst
499,Formosa Betrayed,Action & Adventure,R,2010,21.0,best
500,Josie,Drama,NR,2018,18.0,best
501,My Life in Ruins,Comedy,PG-13,2009,35.0,best
502,Bluebeard,Action & Adventure,NR,2010,-32.0,worst
503,Missing Link,Action & Adventure,PG,2019,-22.0,worst
504,Last Holiday,Action & Adventure,PG-13,2006,11.0,good
505,Horse Feathers,Classics,NR,1932,-9.0,bad
506,A Christmas Carol,Classics,G,1938,-26.0,worst
507,The Prisoner,Art House & International,NR,1955,0.0,okay
508,Turbo,Animation,PG,2013,-2.0,okay
509,Hadewijch,Art House & International,R,2010,-21.0,worst
510,Runaway Bride,Comedy,PG,1999,7.0,good
511,Tooth and Nail,Drama,R,2007,-11.0,bad
512,The Brave Little Toaster Goes to Mars,Animation,NR,1998,5.0,good
513,Unlawful Entry,Action & Adventure,R,1992,-25.0,worst
514,Round of Your Life,Kids & Family,NR,2019,22.0,best
515,The Distinguished Citizen (El ciudadano ilustre),Art House & International,NR,2016,-15.0,bad
516,Eating,Art House & International,R,1990,-31.0,worst
517,John Q,Drama,PG-13,2002,55.0,best
518,The Nile Hilton Incident,Art House & International,NR,2017,-33.0,worst
519,Stranger Than Paradise,Art House & International,R,1984,-8.0,bad
520,Cabin Boy,Comedy,PG-13,1994,-5.0,okay
521,Ender's Game,Action & Adventure,PG-13,2013,4.0,good
522,Don't Trip...He Ain't Through with Me Yet,Comedy,PG,2006,29.0,best
523,Monkey Warfare,Comedy,NR,2006,-14.0,bad
524,Tex,Drama,PG,1982,-19.0,worst
525,Whity,Art House & International,NR,1971,-35.0,worst
526,The Big Brass Ring,Drama,R,1999,-40.0,worst
527,Triple Frontier,Action & Adventure,R,2019,-17.0,bad
528,The Mourning Forest (Mogari no mori),Art House & International,NR,2007,-4.0,okay
529,Adanggaman,Art House & International,NR,2001,-28.0,worst
530,The Sisterhood of the Traveling Pants 2,Action & Adventure,PG-13,2008,1.0,okay
531,Rabid Dogs (Cani arrabbiati) (Kidnapped) ( A Man and a Boy),Art House & International,NR,1974,9.0,good
532,Julia,Art House & International,R,2009,-7.0,okay
533,The Last Gladiators,Documentary,R,2013,-10.0,bad
534,Mojin: The Lost Legend,Action & Adventure,NR,2015,-1.0,okay
535,"A Bread Factory, Part One: For the Sake of Gold",Comedy,NR,2018,-29.0,worst
536,Screwball,Documentary,NR,2019,-3.0,okay
537,Inferno (Pilgrim),Mystery & Suspense,R,2000,4.0,good
538,Breaking Habits,Documentary,NR,2019,19.0,best
539,Georgy Girl,Art House & International,NR,1966,-20.0,worst
540,Astro Boy (AstroBoy),Action & Adventure,PG,2009,0.0,okay
541,The Collector,Horror,R,2009,19.0,best
542,Town & Country,Comedy,R,2000,1.0,okay
543,In the Realms of the Unreal,Documentary,NR,2005,8.0,good
544,Patriots Day,Drama,R,2017,6.0,good
545,The Pelican Brief,Drama,PG-13,1993,8.0,good
546,Moolaadé,Art House & International,NR,2004,-15.0,bad
547,Garbo Talks,Comedy,PG-13,1984,34.0,best
548,A Tuba to Cuba,Documentary,NR,2019,-17.0,bad
549,The Greening Of Whitney Brown,Action & Adventure,PG,2011,25.0,best
550,Valkyrie,Drama,PG-13,2008,3.0,good
551,I Saw the Devil,Art House & International,NR,2011,7.0,good
552,Joyful Noise,Comedy,PG-13,2012,34.0,best
553,The Tooth Fairy,Horror,NR,2006,13.0,good
554,Kill the Messenger,Drama,R,2014,-8.0,bad
555,Nightmare Alley,Classics,NR,1947,-13.0,bad
556,Passage to Mars,Action & Adventure,NR,2016,56.0,best
557,The Hidden Blade,Action & Adventure,R,2006,0.0,okay
558,The Big Tease,Art House & International,R,2000,-1.0,okay
559,A Talking Picture (Um Filme Falado),Art House & International,NR,2004,-25.0,worst
560,Zombeavers,Action & Adventure,R,2015,-38.0,worst
561,2 Jacks,Drama,NR,2013,-14.0,bad
562,Red Road,Art House & International,NR,2007,-17.0,bad
563,Frank Serpico,Documentary,NR,2017,-15.0,bad
564,The Garden,Documentary,NR,2008,6.0,good
565,Cassandro the Exotico!,Documentary,NR,2019,-29.0,worst
566,Maze Runner: The Scorch Trials,Action & Adventure,PG-13,2015,8.0,good
567,All the Vermeers in New York,Art House & International,NR,1990,-44.0,worst
568,Smash His Camera,Documentary,PG-13,2010,-14.0,bad
569,Ashik Kerib,Art House & International,NR,1989,-22.0,worst
570,Salyut-7,Action & Adventure,NR,2017,-20.0,worst
571,It's a Gift,Classics,NR,1934,-25.0,worst
572,Man of the West,Classics,NR,1958,-15.0,bad
573,Tears of Gaza,Art House & International,NR,2012,2.0,good
574,How to Lose a Guy in 10 Days,Comedy,PG-13,2003,35.0,best
575,The Mortal Storm,Drama,NR,1940,-15.0,bad
576,Under the Sun (Under solen),Art House & International,NR,2000,4.0,good
577,The Rescuers Down Under,Animation,G,1990,-1.0,okay
578,The Tender Trap,Classics,NR,1955,-11.0,bad
579,Millennium Actress (Sennen joyû),Animation,PG,2001,-3.0,okay
580,The Chameleon,Drama,R,2011,-3.0,okay
581,Obsessed,Drama,PG-13,2009,27.0,best
582,Mr. Blandings Builds His Dream House,Classics,NR,1948,-6.0,okay
583,Átame! (Tie Me Up! Tie Me Down!),Art House & International,NC17,1990,9.0,good
584,The Manhattan Project,Action & Adventure,PG-13,1986,-4.0,okay
585,Maggie's Plan,Comedy,R,2016,-35.0,worst
586,High Life,Action & Adventure,R,2019,-41.0,worst
587,Blue State,Art House & International,R,2007,-6.0,okay
588,Go West,Classics,NR,1925,-20.0,worst
589,Authors Anonymous,Comedy,PG-13,2014,8.0,good
590,El Americano: The Movie,Action & Adventure,NR,2015,17.0,best
591,My Way,Action & Adventure,R,2012,62.0,best
592,Confusion of Genders,Art House & International,NR,2000,42.0,best
593,Final Destination 2,Horror,R,2003,10.0,good
594,Aftershock,Horror,R,2013,-14.0,bad
595,Touchback,Drama,PG-13,2012,25.0,best
596,Dealt,Documentary,NR,2017,-11.0,bad
597,Attack of the Crab Monsters,Classics,NR,1957,-38.0,worst
598,The Last Temptation of Christ,Drama,R,1988,4.0,good
599,"Thelonious Monk: Straight, No Chaser (Straight, No Chaser )",Documentary,PG-13,1988,6.0,good
600,Son of the Bride,Art House & International,R,2002,5.0,good
601,Barcelona,Comedy,PG-13,1994,-2.0,okay
602,Nights and Weekends,Drama,NR,2008,-34.0,worst
603,MDMA (Cardinal X),Drama,NR,2018,28.0,best
604,Sleuth,Art House & International,PG,1972,-6.0,okay
605,Aria,Art House & International,R,1988,-3.0,okay
606,Bhowani Junction,Action & Adventure,NR,1956,-40.0,worst
607,Alvin and the Chipmunks,Animation,PG,2007,36.0,best
608,Planetary,Documentary,NR,2015,23.0,best
609,Fong juk (Exiled),Action & Adventure,R,2006,0.0,okay
610,Van Helsing,Action & Adventure,PG-13,2004,33.0,best
611,Fast Times At Ridgemont High,Comedy,R,1982,2.0,good
612,Music Box,Drama,PG-13,1989,4.0,good
613,Polyester,Comedy,R,1981,-10.0,bad
614,Familiar Ground,Art House & International,NR,2011,-18.0,worst
615,Replicas,Mystery & Suspense,PG-13,2019,25.0,best
616,Dracula's Dog,Horror,R,1981,9.0,good
617,Cobra,Action & Adventure,R,1986,28.0,best
618,Jimi: All Is by My Side,Drama,R,2014,-30.0,worst
619,L' Amico di Famiglia (The Family Friend) (Friend of the Family),Art House & International,NR,2006,-3.0,okay
620,Wild Card,Action & Adventure,R,2015,-2.0,okay
621,Rich in Love,Comedy,PG-13,1993,-29.0,worst
622,Cremaster 2,Drama,NR,1999,9.0,good
623,Young Mr. Lincoln,Classics,NR,1939,-19.0,worst
624,Breakfast at Tiffany's,Classics,NR,1961,3.0,good
625,Man Facing Southeast (Hombre Mirando al Sudeste),Art House & International,R,1986,6.0,good
626,"For a Good Time, Call...",Comedy,R,2012,-4.0,okay
627,The Adventures of Ichabod and Mr. Toad,Animation,G,1949,-22.0,worst
628,Fantastic Four,Action & Adventure,PG-13,2015,9.0,good
629,Amazon Women on the Moon,Comedy,R,1987,-2.0,okay
630,A Night in the Woods,Art House & International,NR,2013,-36.0,worst
631,The Settlers,Art House & International,NR,2017,-24.0,worst
632,Learning To Drive,Drama,R,2015,-6.0,okay
633,Training Day,Action & Adventure,R,2001,17.0,best
634,Despite The Falling Snow,Art House & International,PG-13,2017,33.0,best
635,Last Dance,Cult Movies,R,1996,18.0,best
636,Orchestra Of Exiles,Documentary,NR,2012,-10.0,bad
637,Alvin and the Chipmunks: The Road Chip,Animation,PG,2015,36.0,best
638,Rangoon,Art House & International,NR,2017,9.0,good
639,Macon County Line,Action & Adventure,R,1974,15.0,good
640,Carlito's Way,Drama,R,1993,10.0,good
641,Meet the Parents,Comedy,PG-13,2000,-5.0,okay
642,Firewall,Action & Adventure,PG-13,2006,19.0,best
643,The Myth Of The American Sleepover,Comedy,NR,2011,-29.0,worst
644,A Woman's Secret,Drama,NR,1949,-9.0,bad
645,The Hornet's Nest,Documentary,R,2014,8.0,good
646,Dogs in Space,Drama,R,1987,19.0,best
647,Love with the Proper Stranger,Classics,NR,1963,-2.0,okay
648,Howard the Duck,Action & Adventure,PG,1986,23.0,best
649,Lady in White,Horror,PG-13,1988,2.0,good
650,Tremors: A Cold Day in Hell,Horror,PG-13,2018,-9.0,bad
651,Mighty Aphrodite,Comedy,R,1995,-4.0,okay
652,Dangerous Ground,Action & Adventure,R,1997,27.0,best
653,Sing,Drama,PG-13,1989,47.0,best
654,Illuminata,Comedy,R,1999,27.0,best
655,Hanky Panky,Action & Adventure,PG,1982,-2.0,okay
656,Big Eyes,Drama,PG-13,2014,-4.0,okay
657,Salvo,Drama,NR,2014,-28.0,worst
658,Mental,Art House & International,NR,2013,12.0,good
659,Superhero Movie,Action & Adventure,PG-13,2008,15.0,good
660,Dallas 362,Drama,R,2005,8.0,good
661,Mimic: Sentinel,Horror,R,2003,-45.0,worst
662,Inkheart,Action & Adventure,PG,2009,7.0,good
663,Skin in the Game,Drama,NR,2019,-3.0,okay
664,Splice,Horror,R,2010,-39.0,worst
665,Safe House,Action & Adventure,R,2012,11.0,good
666,Troublemakers: The Story of Land Art,Documentary,NR,2016,-24.0,worst
667,City of Life and Death,Art House & International,R,2011,-6.0,okay
668,Nobody's Fool,Comedy,R,1994,-10.0,bad
669,Darkest Hour,Drama,PG-13,2017,-3.0,okay
670,DOA: Dead or Alive,Action & Adventure,PG-13,2007,3.0,good
671,The Longshots,Comedy,PG,2008,20.0,best
672,Boom!,Art House & International,PG,1968,31.0,best
673,9 Songs,Art House & International,NR,2005,8.0,good
674,An Episode in the Life of an Iron Picker,Art House & International,NR,2013,-30.0,worst
675,The Small Back Room,Action & Adventure,NR,1952,-8.0,bad
676,Where's My Roy Cohn?,Documentary,PG-13,2019,-5.0,okay
677,Murders in the Rue Morgue,Action & Adventure,NR,1932,-37.0,worst
678,The Box,Horror,PG-13,2009,-20.0,worst
679,Home of the Brave,Action & Adventure,R,2006,24.0,best
680,King Cobra,Drama,NR,2016,-17.0,bad
681,Five Days One Summer,Drama,PG,1983,16.0,best
682,2012,Action & Adventure,PG-13,2009,8.0,good
683,Stage Beauty,Comedy,R,2004,14.0,good
684,Things You Can Tell Just by Looking at Her,Comedy,PG-13,2000,-10.0,bad
685,Clash by Night,Classics,NR,1952,-3.0,okay
686,The Stupids,Comedy,PG,1996,18.0,best
687,Force 2,Action & Adventure,NR,2016,-12.0,bad
688,Robin Williams: Come Inside My Mind,Documentary,NR,2018,-9.0,bad
689,Imaginary Heroes,Comedy,R,2005,47.0,best
690,The Keeper of Lost Causes (Kvinden i buret),Art House & International,NR,2016,-3.0,okay
691,Addams Family Values,Comedy,PG-13,1993,-13.0,bad
692,Night School,Comedy,PG-13,2018,10.0,good
693,A Walk to Beautiful,Documentary,NR,2008,5.0,good
694,Sanju,Drama,NR,2018,42.0,best
695,A Mother's Courage: Talking Back To Autism (Sólskinsdrengurinn),Art House & International,NR,2010,21.0,best
696,The Machinist,Drama,R,2004,6.0,good
697,Bedazzled,Comedy,PG-13,2000,-7.0,okay
698,Detroit Rock City,Comedy,R,1999,34.0,best
699,The Road Within,Comedy,R,2015,23.0,best
700,High Noon,Drama,PG-13,2000,13.0,good
701,Year of the Gun,Action & Adventure,R,1991,-4.0,okay
702,Dhadak,Art House & International,NR,2018,27.0,best
703,New Year's Evil,Horror,R,1981,0.0,okay
704,Street Trash,Comedy,NR,1986,-6.0,okay
705,Broken Arrow,Action & Adventure,G,1950,-19.0,worst
706,Murder by Contract,Drama,G,1958,-18.0,worst
707,Network,Comedy,R,1976,1.0,okay
708,Nate & Margaret,Comedy,NR,2012,-27.0,worst
709,Robots,Animation,PG,2005,-11.0,bad
710,Born Yesterday,Comedy,PG,1993,2.0,good
711,Le samouraï,Drama,PG,1967,-6.0,okay
712,Three Blind Mice,Comedy,PG,2008,-30.0,worst
713,Christmas on Mars,Musical & Performing Arts,NR,2008,2.0,good
714,City of Ghosts,Documentary,R,2017,-16.0,bad
715,Special Treatment,Art House & International,NR,2011,-8.0,bad
716,The Good Son,Drama,R,1993,28.0,best
717,Housefull 4,Comedy,NR,2019,20.0,best
718,I'm Going Home,Comedy,NR,2001,-28.0,worst
719,Batman: Mask of the Phantasm,Action & Adventure,PG,1993,4.0,good
720,"Fast, Cheap & Out of Control",Documentary,PG,1997,-7.0,okay
721,BB King: The Life of Riley,Documentary,NR,2014,-1.0,okay
722,She's the One,Comedy,R,1996,-20.0,worst
723,Samehada otoko to momojiri onna (Shark Skin Man and Peach Hip Girl ),Action & Adventure,R,2003,55.0,best
724,Edge Codes: The Art of Motion Picture Editing,Documentary,NR,2005,0.0,okay
725,Red Joan,Drama,R,2019,29.0,best
726,Skidoo,Comedy,R,1968,-2.0,okay
727,The Persian Connection,Action & Adventure,NR,2017,12.0,good
728,An American Rhapsody,Drama,PG-13,2001,11.0,good
729,The Perfect Man,Comedy,PG,2005,52.0,best
730,Belly,Action & Adventure,R,1998,75.0,best
731,The Bling Ring,Drama,R,2013,-26.0,worst
732,Tell It to the Bees,Drama,NR,2019,29.0,best
733,Babes in Toyland,Kids & Family,G,1961,24.0,best
734,Freezer,Action & Adventure,R,2014,-6.0,okay
735,Halloween II,Drama,R,1981,35.0,best
736,Mere Brother Ki Dulhan,Comedy,NR,2011,-3.0,okay
737,The Lady Eve,Classics,NR,1941,-13.0,bad
738,Witness for the Prosecution,Classics,NR,1957,-5.0,okay
739,Blood Brother,Action & Adventure,R,2018,66.0,best
740,5 Broken Cameras,Art House & International,NR,2012,-8.0,bad
741,Voy a Explotar (I'm Gonna Explode),Art House & International,NR,2008,-14.0,bad
742,Labyrinth,Action & Adventure,PG,1986,16.0,best
743,Isle of Dogs,Action & Adventure,PG-13,2018,-3.0,okay
744,The Last Suit (El último traje),Art House & International,NR,2018,11.0,good
745,Carol Channing: Larger Than Life,Documentary,PG,2012,-3.0,okay
746,Kon Tiki,Drama,PG-13,2013,-4.0,okay
747,My Kingdom (Mi Reino),Drama,NR,2002,15.0,good
748,Bill Cunningham New York,Documentary,NR,2011,-7.0,okay
749,The Manitou,Horror,PG,1978,2.0,good
750,War and Peace,Art House & International,PG,1956,20.0,best
751,Bohemian Rhapsody,Drama,PG-13,2018,24.0,best
752,The Eyes of Tammy Faye,Documentary,PG-13,2000,-14.0,bad
753,Houseguest,Comedy,PG,1995,41.0,best
754,The Perfect Date,Comedy,NR,2019,-31.0,worst
755,Sex and the City,Comedy,R,2008,28.0,best
756,The Mystery of the Wax Museum,Classics,NR,1933,-18.0,worst
757,Wizards,Action & Adventure,PG,1977,8.0,good
758,We're The Millers,Comedy,R,2013,25.0,best
759,Rio 2,Animation,G,2014,10.0,good
760,For Roseanna,Art House & International,PG-13,1997,44.0,best
761,The Promise (Master of Crimson Armor) (Wu ji),Action & Adventure,PG-13,2005,13.0,good
762,The Face of Another (I Have a Stranger's Face) (Tanin no kao),Art House & International,NR,1967,-9.0,bad
763,The Hero,Drama,R,2017,-19.0,worst
764,The Odd Couple II,Comedy,PG-13,1998,30.0,best
765,Amreeka,Drama,PG-13,2009,-11.0,bad
766,Iron Sky,Action & Adventure,R,2012,-2.0,okay
767,Fire In The Blood,Documentary,NR,2013,-3.0,okay
768,Ghost Bird,Documentary,NR,2009,-18.0,worst
769,That's Entertainment,Classics,G,1973,-15.0,bad
770,Police Beat,Art House & International,NR,2005,-12.0,bad
771,Vanilla Sky,Drama,R,2001,30.0,best
772,Dirty Sanchez: The Movie,Comedy,R,2007,34.0,best
773,Standard Time (Anything But Love),Comedy,PG-13,2002,31.0,best
774,Battle in Heaven,Art House & International,NR,2006,-3.0,okay
775,The Waiting Room,Drama,NR,2007,-4.0,okay
776,Symbiopsychotaxiplasm: Take One,Documentary,NR,1968,-13.0,bad
777,Foolish Wives,Classics,NR,1922,-20.0,worst
778,Romeo and Juliet,Drama,PG,1968,-20.0,worst
779,Kubo and the Two Strings,Action & Adventure,PG,2016,-11.0,bad
780,Love at First Bite,Comedy,PG,1979,-13.0,bad
781,The Solid Gold Cadillac,Classics,NR,1956,-33.0,worst
782,21 And Over,Comedy,R,2013,21.0,best
783,Sputnik Fever (Sputnik Mania),Documentary,G,2007,-16.0,bad
784,5x2,Art House & International,R,2004,4.0,good
785,All About Eve,Classics,PG,1950,-6.0,okay
786,The Night of the Hunter,Drama,PG,1955,-9.0,bad
787,Dark Blue,Drama,R,2003,-6.0,okay
788,American Guerrilla in the Philippines,Action & Adventure,NR,1950,-42.0,worst
789,The Incredibly Strange Creatures...,Horror,NR,1963,-6.0,okay
790,Four Friends,Comedy,R,1981,-6.0,okay
791,Cash,Action & Adventure,NR,2007,18.0,best
792,Dragon Inn (Long men ke zhen),Action & Adventure,NR,1966,-14.0,bad
793,Supercop,Action & Adventure,R,1996,-22.0,worst
794,Shivaay,Action & Adventure,NR,2016,53.0,best
795,Weather Girl,Comedy,R,2009,3.0,good
796,Percy Jackson: Sea of Monsters,Action & Adventure,PG,2013,13.0,good
797,This Is Congo,Documentary,NR,2018,-12.0,bad
798,Geronimo,Action & Adventure,NR,1962,-47.0,worst
799,Beyond a Reasonable Doubt,Drama,PG-13,2009,29.0,best
800,The Great Flood,Documentary,NR,2014,-37.0,worst
801,Our Man in Havana,Classics,NR,1959,-17.0,bad
802,Arizona Dream,Comedy,R,1993,-1.0,okay
803,Being Ginger,Documentary,NR,2014,-15.0,bad
804,Suddenly,Action & Adventure,PG,1954,-37.0,worst
805,Kickboxer: Retaliation,Action & Adventure,R,2018,-20.0,worst
806,Piccadilly,Classics,NR,1929,-11.0,bad
807,Grbavica,Art House & International,NR,2007,-11.0,bad
808,Donkey Skin (Peau d'âne),Art House & International,NR,1971,-11.0,bad
809,Crossfire,Action & Adventure,NR,1947,-5.0,okay
810,The Ghost Goes West,Classics,NR,1935,-47.0,worst
811,Pain and Glory (Dolor y gloria),Drama,R,2019,-8.0,bad
812,Up There,Comedy,NR,2012,-36.0,worst
813,The Boy with Green Hair,Classics,NR,1948,-23.0,worst
814,The Rescuers,Action & Adventure,G,1977,-12.0,bad
815,Sweet Home Alabama,Comedy,PG-13,2002,40.0,best
816,Metro,Action & Adventure,R,1997,11.0,good
817,Iron Monkey,Action & Adventure,PG-13,2001,-4.0,okay
818,Carrie,Horror,R,2013,-6.0,okay
819,The First Power,Horror,R,1990,23.0,best
820,Stephen King's 'The Langoliers',Horror,PG-13,1995,-4.0,okay
821,Die Wand (The Wall),Drama,NR,2013,-8.0,bad
822,Yogi Bear,Action & Adventure,PG,2010,21.0,best
823,The Mole People,Horror,NR,1956,-16.0,bad
824,Zarafa,Animation,NR,2015,-10.0,bad
825,Spring Breakers,Action & Adventure,R,2013,-29.0,worst
826,Four Rooms,Comedy,R,1996,55.0,best
827,The Intended,Drama,R,2004,5.0,good
828,Short Time,Action & Adventure,PG-13,1990,35.0,best
829,Hideaway,Drama,R,1995,25.0,best
830,The Animal,Comedy,PG-13,2001,-2.0,okay
831,Dear Dictator,Comedy,NR,2018,29.0,best
832,Donzoko (The Lower Depths),Art House & International,NR,1957,-3.0,okay
833,Big Brown Eyes,Classics,NR,1936,-18.0,worst
834,Titicut Follies,Documentary,NR,1967,-10.0,bad
835,Beneath Hill 60,Art House & International,R,2010,-8.0,bad
836,Dear America: Letters Home from Vietnam,Documentary,PG-13,1987,-8.0,bad
837,Popcorn,Comedy,R,1989,3.0,good
838,Murder at the Gallop,Action & Adventure,PG,1963,-28.0,worst
839,Battle Beyond the Stars,Science Fiction & Fantasy,PG,1980,-3.0,okay
840,Someone to Watch over Me,Action & Adventure,R,1987,-28.0,worst
841,Fame,Drama,R,1980,-15.0,bad
842,Support Your Local Gunfighter,Action & Adventure,G,1971,-2.0,okay
843,Deep Rising,Action & Adventure,R,1998,14.0,good
844,Baunsu ko gaurusu (Bounce KO Gals),Art House & International,NR,1997,24.0,best
845,Hilary and Jackie,Drama,R,1998,-5.0,okay
846,King of the Corner,Comedy,R,2005,-43.0,worst
847,An Autumn Afternoon,Art House & International,NR,1964,-4.0,okay
848,Things Change,Comedy,PG,1988,-4.0,okay
849,Totally,Drama,NR,1993,-39.0,worst
850,Kurt & Courtney,Documentary,R,1998,-17.0,bad
851,Room For Rent,Comedy,NR,2017,-36.0,worst
852,El Sol del membrillo (Dream of Light) (Quince Tree of the Sun),Documentary,NR,2000,5.0,good
853,Brother of Sleep,Art House & International,R,1995,8.0,good
854,The End Of The Tour,Drama,R,2015,-9.0,bad
855,Theater of War,Documentary,NR,2008,8.0,good
856,Chasing Asylum,Art House & International,NR,2016,-29.0,worst
857,An Inconvenient Sequel: Truth To Power,Documentary,PG,2017,-29.0,worst
858,An Ordinary Execution,Art House & International,NR,2010,-38.0,worst
859,I'll Be Home for Christmas,Comedy,PG,1998,18.0,best
860,Bad Seed,Horror,R,2001,27.0,best
861,Just Jim,Drama,NR,2015,-52.0,worst
862,Circle of Friends,Art House & International,PG-13,1994,-5.0,okay
863,Bad Teacher,Comedy,R,2011,-8.0,bad
864,Train of Life,Art House & International,R,1999,29.0,best
865,Wisegirls,Action & Adventure,R,2002,25.0,best
866,Celtic Pride,Comedy,PG-13,1996,22.0,best
867,The Dead Pool,Action & Adventure,R,1988,-13.0,bad
868,Village of the Damned,Horror,R,1960,-15.0,bad
869,Lady Chatterley,Art House & International,R,2007,-17.0,bad
870,A League of Their Own,Comedy,PG,1992,6.0,good
871,Major Payne,Comedy,PG-13,1994,35.0,best
872,Begin Again,Comedy,R,2014,-1.0,okay
873,Dom Hemingway,Comedy,R,2014,-18.0,worst
874,48 HRS,Action & Adventure,R,1982,-24.0,worst
875,Altman,Documentary,G,2014,-2.0,okay
876,Black Butterflies,Drama,NR,2012,-7.0,okay
877,Been So Long,Drama,NR,2018,-14.0,bad
878,The Clay Bird (Matir moina),Art House & International,NR,2002,-4.0,okay
879,Holy Motors,Drama,NR,2012,-20.0,worst
880,Secretariat,Drama,PG,2010,13.0,good
881,The Holy Girl,Art House & International,R,2005,-19.0,worst
882,Aferim!,Action & Adventure,NR,2016,-23.0,worst
883,Goodbye World,Comedy,NR,2014,8.0,good
884,Megane,Art House & International,NR,2008,48.0,best
885,Submarine,Comedy,R,2011,-6.0,okay
886,Housekeeping,Comedy,PG,1987,-16.0,bad
887,Prelude to a Kiss,Comedy,PG-13,1992,-24.0,worst
888,Five Easy Pieces,Classics,R,1970,-4.0,okay
889,Where Hope Grows,Drama,PG-13,2015,29.0,best
890,"The Prize Winner of Defiance, Ohio",Drama,PG-13,2005,16.0,best
891,7 Days in Hell,Comedy,NR,2015,-17.0,bad
892,11/8/16,Documentary,NR,2017,-14.0,bad
893,Office Killer,Comedy,R,1997,39.0,best
894,Woman Thou Art Loosed: On the 7th Day,Mystery & Suspense,PG-13,2012,49.0,best
895,Twin Warriors (Tai ji zhang san feng) (The Tai-Chi Master),Action & Adventure,R,1984,-2.0,okay
896,Divorce Italian Style (Divorzio all'italiana),Art House & International,NR,1962,-7.0,okay
897,Malena,Art House & International,R,2000,30.0,best
898,Rendezvous in Paris,Art House & International,NR,1996,-1.0,okay
899,Footloose,Drama,PG,1984,20.0,best
900,Highwater,Documentary,PG-13,2010,31.0,best
901,Tuff Turf,Action & Adventure,R,1985,43.0,best
902,Lenny Cooke,Documentary,NR,2013,-15.0,bad
903,Muppet Treasure Island,Comedy,G,1996,4.0,good
904,The Sterile Cuckoo (Pookie),Comedy,PG,1969,-24.0,worst
905,Letters to Father Jacob (Postia pappi Jaakobille),Art House & International,NR,2010,6.0,good
906,The Acid House,Art House & International,NR,1998,24.0,best
907,Backstabbing for Beginners,Drama,R,2018,4.0,good
908,Varieté (Variety) (Jealousy),Art House & International,NR,1925,-12.0,bad
909,Resident Evil: Apocalypse,Horror,R,2004,40.0,best
910,Ladrones,Comedy,PG-13,2015,4.0,good
911,Saving Grace,Comedy,R,2000,21.0,best
912,Whistle Down the Wind,Classics,NR,1961,-9.0,bad
913,Homo Sapiens,Documentary,NR,2016,-44.0,worst
914,Open Season,Action & Adventure,PG,2006,9.0,good
915,Los Adioses,Drama,NR,2017,-27.0,worst
916,Gascoigne,Documentary,NR,2015,-26.0,worst
917,By The Sea,Drama,R,2015,-7.0,okay
918,7 Days in Entebbe,Drama,PG-13,2018,14.0,good
