,url,title,tomatoScore,popcornScore
/m/1018440-sea_wolves,/m/1018440-sea_wolves,The Sea Wolves,null,40
/m/message,/m/message,The Message,null,92
/m/mickey_blue_eyes,/m/mickey_blue_eyes,Mickey Blue Eyes,45,42
/m/clerks,/m/clerks,Clerks,88,89
/m/schlock,/m/schlock,Schlock,67,42
/m/amos_and_andrew,/m/amos_and_andrew,Amos & Andrew,20,31
/m/monkeybone,/m/monkeybone,Monkeybone,19,27
/m/car_54_where_are_you,/m/car_54_where_are_you,"Car 54, Where Are You?",null,11
/m/sssssss,/m/sssssss,Sssssss,30,25
/m/pharaohs_army,/m/pharaohs_army,Pharaoh's Army,null,62
/m/home_for_christmas_1993,/m/home_for_christmas_1993,Home for Christmas,null,45
/m/1004502-coma,/m/1004502-coma,Coma,80,66
/m/wicked_spring,/m/wicked_spring,Wicked Spring,null,58
/m/greedy,/m/greedy,Greedy,28,48
/m/cactus_flower,/m/cactus_flower,Cactus Flower,88,80
/m/a-time-for-dancing,/m/a-time-for-dancing,A Time for Dancing,null,75
/m/leave_it_to_beaver,/m/leave_it_to_beaver,Leave It to Beaver,21,32
/m/white-nights,/m/white-nights,White Nights,46,75
/m/1017827-romantic_comedy,/m/1017827-romantic_comedy,Romantic Comedy,null,42
/m/1002497-black_hole,/m/1002497-black_hole,The Black Hole,40,45
/m/wild_at_heart,/m/wild_at_heart,Wild At Heart,65,81
/m/memories_of_me,/m/memories_of_me,Memories of Me,null,48
/m/devils_rain,/m/devils_rain,The Devil's Rain,18,35
/m/blue_crush,/m/blue_crush,Blue Crush,61,58
/m/1037649-my_girl,/m/1037649-my_girl,My Girl,53,77
/m/lady_in_white,/m/lady_in_white,Lady in White,67,69
/m/gone_fishin,/m/gone_fishin,Gone Fishin',4,37
/m/jackie_brown,/m/jackie_brown,Jackie Brown,87,85
/m/bigger_than_the_sky,/m/bigger_than_the_sky,Bigger Than the Sky,12,53
/m/sophies_choice,/m/sophies_choice,Sophie's Choice,76,85
/m/looking_glass_war,/m/looking_glass_war,The Looking Glass War,null,50
/m/1107863-moulin_rouge,/m/1107863-moulin_rouge,Moulin Rouge!,76,89
