,url,title,tomatoScore,popcornScore
/m/1018440-sea_wolves,/m/1018440-sea_wolves,The Sea Wolves,null,40
/m/message,/m/message,The Message,null,92
/m/mickey_blue_eyes,/m/mickey_blue_eyes,Mickey Blue Eyes,45,42
