,url,title,genre,cag_rating,cag_release,tomatoScore,popcornScore
/m/secrecy,/m/secrecy,Secrecy,"[""Documentary"",""Drama"",""Special Interest""]",NR,2008,94,56
/m/hollow_in_the_land,/m/hollow_in_the_land,Hollow in the Land,"[""Drama""]",NR,2017,57,57
/m/beethovens_big_break,/m/beethovens_big_break,Beethoven's Big Break,"[""Comedy"",""Kids & Family""]",PG,2008,null,42
/m/bob_and_the_monster_2012,/m/bob_and_the_monster_2012,Bob And The Monster,"[""Documentary"",""Special Interest""]",NR,2013,null,79
/m/the_swan_princess_ii_escape_from_castle_mountain,/m/the_swan_princess_ii_escape_from_castle_mountain,The Swan Princess II: Escape from Castle Mountain,"[""Animation"",""Kids & Family"",""Science Fiction & Fantasy""]",G,1997,40,46
/m/the_house_that_jack_built_2018,/m/the_house_that_jack_built_2018,The House That Jack Built,"[""Drama"",""Horror"",""Mystery & Suspense""]",R,2018,58,66
/m/tsunami_the_aftermath,/m/tsunami_the_aftermath,"Tsunami, The Aftermath","[""Drama"",""Television""]",NR,2006,null,69
/m/warriors-peacekeepers,/m/warriors-peacekeepers,Warriors (Peacekeepers),"[""Drama"",""Special Interest"",""Television""]",PG,1999,null,95
/m/after_the_wedding,/m/after_the_wedding,Efter brylluppet (After the Wedding),"[""Art House & International"",""Drama""]",R,2006,88,87
/m/born_losers,/m/born_losers,Born Losers,"[""Action & Adventure"",""Art House & International"",""Classics"",""Drama"",""Mystery & Suspense""]",PG,1967,60,64
/m/the_dawning,/m/the_dawning,The Dawning,"[""Art House & International"",""Drama""]",PG,1988,null,50
/m/surfer_dude,/m/surfer_dude,"Surfer, Dude","[""Comedy""]",R,2008,null,26
/m/ironclad,/m/ironclad,Ironclad,"[""Action & Adventure""]",R,2011,42,41
/m/black_serenade,/m/black_serenade,Tuno negro (Black Serenade),"[""Art House & International"",""Drama"",""Horror""]",R,2001,null,21
/m/attack_on_titan_part_2,/m/attack_on_titan_part_2,Attack On Titan: Part 2 (Shingeki no kyojin endo obu za warudo),"[""Action & Adventure"",""Drama"",""Horror"",""Science Fiction & Fantasy""]",NR,2015,50,35
/m/you_are_alone,/m/you_are_alone,You Are Alone,"[""Art House & International"",""Drama""]",R,2005,null,67
/m/let_the_devil_wear_black,/m/let_the_devil_wear_black,Let the Devil Wear Black,"[""Drama"",""Mystery & Suspense""]",R,1999,57,29
/m/bullet_to_beijing,/m/bullet_to_beijing,Bullet to Beijing,"[""Action & Adventure"",""Mystery & Suspense""]",R,1995,null,35
/m/sherlock_holmes_faces_death,/m/sherlock_holmes_faces_death,Sherlock Holmes Faces Death,"[""Classics"",""Drama"",""Horror"",""Mystery & Suspense""]",G,1943,null,71
/m/charlies_country,/m/charlies_country,Charlie's Country,"[""Art House & International"",""Drama""]",NR,2015,95,85
/m/sunshine,/m/sunshine,Sunshine,"[""Drama"",""Science Fiction & Fantasy""]",R,2007,76,73
/m/1108799-score,/m/1108799-score,The Score,"[""Action & Adventure"",""Drama""]",R,2001,73,67
/m/lady_and_the_highwayman,/m/lady_and_the_highwayman,The Lady and the Highwayman,"[""Action & Adventure"",""Drama"",""Television"",""Romance""]",PG,1989,null,46
/m/raw_force,/m/raw_force,Raw Force,"[""Action & Adventure"",""Comedy"",""Horror""]",R,1982,null,41
/m/3_ninjas_knuckle_up,/m/3_ninjas_knuckle_up,3 Ninjas Knuckle Up,"[""Action & Adventure"",""Comedy"",""Kids & Family""]",PG-13,1995,null,40
/m/your_friends_and_neighbors,/m/your_friends_and_neighbors,Your Friends & Neighbors,"[""Art House & International"",""Comedy"",""Drama""]",R,1998,77,64
